year,position,place,link
Aug 2023 - Present,Privacy Engineering Independent Study,Under Professor Norman Sadeh at CMU,https://www.normsadeh.org/
Jul 2023 - Present,Research Project Lead & Contributor,OpenMined,https://openmined.org/
Feb 2023,AAAI Undergraduate Consortium Scholar,The Association for the Advancement of Artificial Intelligence,https://aaai-uc.github.io/2023_scholars.html#aman-priyanshu
Aug 2022 - Present,Co-Founder,Felasa Initiative,http://felasa-initiative.github.io/
Aug 2022 - Aug 2023,Privacy Engineer Intern,"Eder Labs R&D Private Limited, Delaware, USA",https://www.eder.io/
May 2022 - Aug 2022,MITACS Research Intern,"Concordia University, Quebec, Canada",https://www.concordia.ca/
March 2022 - May 2022,Federated Learning Intern,"DynamoFL, California, USA",https://www.dynamofl.com/
May 2021 - Jun 2023,Undergraduate Research Assistant,"Manipal Institute of Technology, Karnataka, India",https://manipal.edu/mit.html
Aug 2021,Reviewer,BlackboxNLP 2021,https://blackboxnlp.github.io/
Feb 2021 - Dec 2022,"Expertise Sub-Head, Artificial Intelligence","Research Society Manipal, Karnataka, India",https://www.researchsocietymit.com/
June 2021 - Dec 2022,Technical Head,Cryptonite Student Project,https://cryptonite.team/index.html
Jan 2020 - Feb 2020,Machine Learning and Web Crawling Intern,"Oniria Pets, Poland", 
